room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude,location,year_modified,month_modified
286153,1480,1489229,shared room,lisbon,campolide,32,4.5,2,1.0,10.0,shared dorm shared appartment 1,2017-07-28 01:19:40.203198,38.729525,-9.167495,0101000020e6100000af7c96e7c15522c0a54e4013615d4340,2017,7
17608815,1480,3624045,shared room,lisbon,misericórdia,0,0.0,2,1.0,18.0,couchsurf in central lisbon,2017-07-28 01:19:40.200901,38.708071,-9.148776,0101000020e610000001dc2c5e2c4c22c07d1f0e12a25a4340,2017,7
3003018,1480,15304954,shared room,lisbon,avenidas novas,5,3.5,14,1.0,24.0,hostel elias garcia residence,2017-07-28 01:19:40.198893,38.739835,-9.148644,0101000020e6100000467efd101b4c22c0d4b7cce9b25e4340,2017,7
12070760,1480,64460695,shared room,lisbon,estrela,0,0.0,6,1.0,15.0,kab 1 hostel amsterdam room,2017-07-28 01:19:40.196777,38.706692,-9.158141,0101000020e610000040506edbf75022c0232c2ae2745a4340,2017,7
17005602,1480,1379661,shared room,lisbon,santa maria maior,0,0.0,4,1.0,24.0,bed in a 4 bed dorm this is lisbon hostel,2017-07-28 01:19:40.194575,38.71556,-9.133353,0101000020e6100000a0a52bd8464422c0b3295778975b4340,2017,7
17378510,1480,117425901,shared room,lisbon,arroios,0,0.0,10,1.0,16.0,cais sodre room metro hostel,2017-07-28 01:19:40.190546,38.734935,-9.142788,0101000020e6100000c2853c821b4922c0c7d79e59125e4340,2017,7
18790690,1480,61255540,shared room,lisbon,arroios,0,0.0,4,1.0,20.0,hostel seven hills quarto s roque,2017-07-28 01:19:40.188369,38.728475,-9.134012,0101000020e6100000098b8a389d4422c0107a36ab3e5d4340,2017,7
12070865,1480,64460695,shared room,lisbon,estrela,1,0.0,6,1.0,15.0,kab 1 hostel madrid room,2017-07-28 01:19:40.185653,38.707347,-9.156651,0101000020e61000007ac5538f345022c03cf6b3588a5a4340,2017,7
2382263,1480,11481927,shared room,lisbon,são vicente,4,5.0,6,1.0,32.0,alfama patio hostel 6 mixed ensuite,2017-07-28 01:19:40.182998,38.713416,-9.129443,0101000020e61000006b64575a464222c0b9382a37515b4340,2017,7
13520423,1480,77663975,shared room,lisbon,santa maria maior,7,4.5,10,1.0,29.0,lisbon destination hostel dorm beds,2017-07-28 01:19:40.180222,38.713968,-9.139971,0101000020e6100000dec66647aa4722c0fd31ad4d635b4340,2017,7
10397682,1480,32344156,shared room,lisbon,misericórdia,15,5.0,8,1.0,27.0,bed in elegant 8 bedded dormitory,2017-07-28 01:19:40.177611,38.714696,-9.148736,0101000020e6100000c879ff1f274c22c0804a95287b5b4340,2017,7
18154378,1480,124601372,shared room,lisbon,santo antónio,4,4.5,4,1.0,30.0,brother s hostel,2017-07-28 01:19:40.175560,38.726999,-9.14532,0101000020e6100000d1e80e62674a22c0c39ca04d0e5d4340,2017,7
6691321,1480,28812904,shared room,lisbon,santa maria maior,1,0.0,1,1.0,15.0,lisbon cozy flat bunk beds 2,2017-07-28 01:19:40.173432,38.711457,-9.136102,0101000020e610000023d74d29af4522c051c1e105115b4340,2017,7
12041448,1480,64460695,shared room,lisbon,estrela,1,0.0,6,1.0,15.0,kab 1 hostel paris room,2017-07-28 01:19:40.170574,38.706957,-9.15661,0101000020e61000000074982f2f5022c0d25625917d5a4340,2017,7
9895119,1480,50896149,shared room,lisbon,santo antónio,5,4.0,8,1.0,20.0,the elevator hostel,2017-07-28 01:19:38.610307,38.71876,-9.141471,0101000020e610000032aa0ce36e4822c024d6e253005c4340,2017,7
16213452,1480,105922671,shared room,lisbon,misericórdia,5,4.5,10,1.0,27.0,14 bed dorm in lisbon s most social hostel,2017-07-28 01:19:38.607746,38.709111,-9.14796,0101000020e6100000793bc269c14b22c0ef1d3526c45a4340,2017,7
16811978,1480,35989446,shared room,lisbon,olivais,8,5.0,2,1.0,29.0,daybed close to airport and parque das na es,2017-07-28 01:19:38.605007,38.771122,-9.111228,0101000020e61000008acc5ce0f23822c0f19c2d20b4624340,2017,7
14297674,1480,86685076,shared room,lisbon,santa maria maior,3,3.0,2,1.0,30.0,twin room dormitory style,2017-07-28 01:19:38.602843,38.717797,-9.13411,0101000020e61000001422e010aa4422c05d15a8c5e05b4340,2017,7
15537505,1480,48360716,shared room,lisbon,arroios,2,0.0,4,1.0,18.0,bed in cozy shared dormitory room,2017-07-28 01:19:38.598439,38.730367,-9.140124,0101000020e6100000f8c43a55be4722c0f08975aa7c5d4340,2017,7
17378961,1480,117425901,shared room,lisbon,arroios,0,0.0,12,1.0,16.0,baixa chiado room metro hostel,2017-07-28 01:19:38.595283,38.733391,-9.142546,0101000020e6100000ea5910cafb4822c022179cc1df5d4340,2017,7
13078189,1480,72524317,shared room,lisbon,ajuda,7,5.0,2,1.0,18.0,sofa bed for two in sunny elegant living room,2017-07-28 01:19:38.592514,38.703416,-9.200875,0101000020e6100000022b8716d96622c0d7bd1589095a4340,2017,7
5723547,1480,29676067,shared room,lisbon,misericórdia,38,5.0,12,1.0,27.0,the backpacker s spacious 12 bed,2017-07-28 01:19:38.587391,38.715266,-9.144653,0101000020e61000005d8940f50f4a22c06af816d68d5b4340,2017,7
18652768,1480,96659355,shared room,lisbon,alvalade,0,0.0,1,1.0,18.0,one bed inside a twin room in a cozy apartment,2017-07-28 01:19:38.585393,38.754795,-9.14657,0101000020e6100000422619390b4b22c09817601f9d604340,2017,7
19501279,1480,133878061,shared room,lisbon,benfica,0,0.0,6,1.0,20.0,shared room 6,2017-07-28 01:19:38.581355,38.749668,-9.200376,0101000020e61000007dceddae976622c0ca6dfb1ef55f4340,2017,7
11693356,1480,28812904,shared room,lisbon,santa maria maior,4,4.5,1,1.0,15.0,lisbon cozy flat bunk beds 7,2017-07-28 01:19:38.579395,38.711736,-9.136816,0101000020e61000009a232bbf0c4622c064b14d2a1a5b4340,2017,7
11836748,1480,53320272,shared room,lisbon,avenidas novas,7,4.0,8,1.0,18.0,swallow hostel 7 sinta se em casa,2017-07-28 01:19:38.576745,38.733844,-9.150675,0101000020e61000004ca60a46254d22c0d32ea699ee5d4340,2017,7
18791292,1480,61255540,shared room,lisbon,arroios,0,0.0,6,1.0,24.0,hostel seven hills quarto s vicente,2017-07-28 01:19:38.574566,38.726522,-9.135839,0101000020e6100000ee0a7db08c4522c08ae942acfe5c4340,2017,7
17786406,1480,103885214,shared room,lisbon,santa maria maior,0,0.0,1,1.0,24.0,lisboa tu eu hostel viii,2017-07-28 01:19:38.572661,38.709986,-9.13262,0101000020e61000004e97c5c4e64322c0164f3dd2e05a4340,2017,7
11693115,1480,28812904,shared room,lisbon,santa maria maior,6,4.0,1,1.0,15.0,lisbon cozy flat bunk beds 6,2017-07-28 01:19:37.075126,38.712146,-9.13674,0101000020e61000002e1c08c9024622c015fda199275b4340,2017,7
14933182,1480,91501272,shared room,lisbon,santo antónio,5,5.0,8,1.0,15.0,low cost hostel marques gardens 8 bed dorm,2017-07-28 01:19:37.073050,38.725084,-9.148648,0101000020e61000004b3b35971b4c22c02b6d718dcf5c4340,2017,7
18347196,1480,107813252,shared room,lisbon,areeiro,1,0.0,1,1.0,15.0,nice room near downtown lisbon 1,2017-07-28 01:19:37.070530,38.739004,-9.131813,0101000020e6100000136058fe7c4322c07dceddae975e4340,2017,7
17784456,1480,103885214,shared room,lisbon,santa maria maior,1,0.0,1,1.0,24.0,lisboa tu eu ii,2017-07-28 01:19:37.068490,38.70921,-9.133637,0101000020e61000003412a1116c4422c082ffad64c75a4340,2017,7
18347706,1480,107813252,shared room,lisbon,areeiro,3,5.0,4,1.0,14.0,nice room near downtown lisbon,2017-07-28 01:19:37.066392,38.740795,-9.131876,0101000020e61000002d414640854322c02905dd5ed25e4340,2017,7
18347279,1480,107813252,shared room,lisbon,areeiro,1,0.0,1,1.0,14.0,nice room near downtown lisbon 2,2017-07-28 01:19:37.063656,38.740315,-9.130708,0101000020e6100000b1a6b228ec4222c07fde54a4c25e4340,2017,7
